,Event ID,Egress Event Time (MM-DD-YYYY),Device ID,Tag Number,Description,Manufacturer,Model Number,Last Seen Time,Last Location,Previous Egress Location,Status,Returned At,Unable to locate,Zone ID,Zone Category,Department ,Organization Id
17,21062024182500B62615,06-21-2024 18:25:00,ac233ff5aa90,B62615,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,2024-06-24T14:41:10+00:00,N,,,Hospital,max
18,,,ac233ff5ab81,B63503,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-16T12:29:55+00:00,N,,,Hospital,max
19,,,ac233ff5ae69,10911,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
20,,,ac233ff5afa9,B61571,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
21,,,ac233ff5a904,B63605,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-13T15:13:02+00:00,N,,,Hospital,max
22,,,ac233ff5a83b,rental 10778,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T12:55:34+00:00,N,,,Hospital,max
23,,,ac233ff5af3f,b61821,,,,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
24,,,ac233ff5a83b,,,,,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
25,,,ac233ff5a891,B59129,"Baths, Paraffin",TRIANGLE BIOMEDICAL SCIENCE,PD-120,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
26,,,ac233ff5ad8b,B64352,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,OR 1 - Refined,,In Hospital,,N,,,Hospital,max
27,,,ac233ff5ad19,B62566,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T12:56:43+00:00,N,,,Hospital,max
28,,,ac233ff5a78a,B59227,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
29,,,ac233ff5a841,B63367,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-05-04T09:05:16+00:00,N,,,Hospital,max
30,,,ac233ff5af23,,,,,7-24-24 9:01 PM,,,Unable To Locate,2024-06-20T23:23:15+00:00,N,,,Hospital,max
31,,,ac233ff5aad2,B63325,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-16T12:30:16+00:00,N,,,Hospital,max
32,14052024204930B61829,05-14-2024 20:49:30,ac233ff5ad5b,B61829,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,2024-06-24T16:24:34+00:00,N,,,Hospital,max
33,,,ac233ff5a9aa,B63518,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
34,12072024190300B63426,07-12-2024 19:03:00,ac233ff5afac,B63426,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,98 Exit,,Returned,2024-07-20T16:41:22+00:00,N,FL03NP1,Non-Productive,Hospital,max
35,,,ac233ff5af67,B61625,"Circulatory Assist,SCD",ZIMMER BIOMET,VP500DM,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
36,,,ac233ff5a855,B63295,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-07-21T12:25:43+00:00,N,,,Hospital,max
37,,,ac233ff5a958,B62777,"Monitors,VitalSigns",MasimoCorporation,ROOT,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
38,,,ac233ff5ab41,B61632,"Circulatory Assist,SCD",ZIMMER BIOMET,VP500DM,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
39,,,ac233ff5aeac,,,,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
40,02052024 31100B62605,05-02-2024  3:11:00,ac233ff5afaa,B62605,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,NotInZone,Trash,In Hospital,2024-05-23T13:56:08+00:00,N,,,Hospital,max
41,,,ac233ff5aa48,B64369,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
42,,,ac233ff5ab3c,B62564,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-28T14:18:44+00:00,N,,,Hospital,max
43,,,ac233ff5ae39,B63493,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
44,,,ac233ff5af5c,B61510,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
45,21072024232230B63455,07-21-2024 23:22:30,ac233ff5af40,B63455,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,Freight,,Returned,2024-07-22T02:32:33+00:00,N,FL01P3,Non-Productive,Hospital,max
46,,,ac233ff5aff5,B63278,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
47,,,ac233ff5ab6b,B63529,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
48,,,ac233ff5acab,B63492,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-07-18T13:35:43+00:00,N,,,Hospital,max
49,,,ac233ff5acbc,B63639,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-04-09T03:33:21+00:00,N,,,Hospital,max
50,,,ac233ff5ad40,B64358,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,,,In Hospital,,N,,,Hospital,max
51,,,ac233ff5afdd,,,,,7-24-24 9:01 PM,,,Unable To Locate,2024-07-19T00:44:00+00:00,N,,,Hospital,max
52,,,ac233ff5ab3b,64755,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
53,17062024224900rent10759,06-17-2024 22:49:00,ac233ff5afdb,rent10759,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,OR 2 - Refined - Large,Freight,In Hospital,2024-06-18T01:41:33+00:00,N,,,Hospital,max
54,,,ac233ff5afd6,B63267,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-13T15:14:10+00:00,N,,,Hospital,max
55,,,ac233ff5a859,B61842,"Endoscopes, CMAC",KARL STORZ Endoscopy,CMAC 8403ZX,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
56,,,ac233ff5afde,B65100,,,,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
57,,,ac233ff5ad6a,64756,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
58,,,ac233ff5a918,B62804,"Monitors,VitalSigns",MasimoCorporation,ROOT,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
59,,,ac233ff5a95b,B63459,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T16:23:56+00:00,N,,,Hospital,max
60,,,ac233ff5b02e,,,,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
61,,,ac233ff5af72,,,,,7-24-24 9:01 PM,,,Unable To Locate,2024-06-14T21:46:55+00:00,N,,,Hospital,max
62,,,ac233ff5a864,B63580,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
63,,05-08-2024 20:50:00,ac233ff5aaf3,,,,,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,2024-05-09T13:55:40+00:00,N,,,Hospital,max
64,,,ac233ff5a7f0,B63651,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-07-19T23:13:17+00:00,N,,,Hospital,max
65,,,ac233ff5af0f,B63323,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-27T19:41:33+00:00,N,,,Hospital,max
66,,,ac233ff5afff,B61629,"Circulatory Assist,SCD",ZIMMER BIOMET,VP500DM,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
67,,,ac233ff5aace,B63179,UNKNOWN,UNKNOWN,Artic Sun 5006,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
68,,,ac233ff5a8d8,,,,,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
69,,,ac233ff5afbe,B63354,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
70,,,ac233ff5a99a,B62589,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
71,21062024182500B63417,06-21-2024 18:25:00,ac233ff5a6bf,B63417,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,2024-06-24T14:41:02+00:00,N,,,Hospital,max
72,,,ac233ff5acdc,B62592,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-21T17:06:07+00:00,N,,,Hospital,max
73,,,ac233ff5acbd,B62671,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T16:15:37+00:00,N,,,Hospital,max
74,,,ac233ff5adf4,10937,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
75,,,ac233ff5a8f0,,,,,7-24-24 9:01 PM,,,Unable To Locate,2024-06-13T03:17:26+00:00,N,,,Hospital,max
76,,,ac233ff5ae10,ivus/ FFR,UNKNOWN,UNKNOWN,,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
77,,07-19-2024 18:11:30,ac233ff5ab3e,,,,,7-24-24 9:01 PM,ER,,Returned,2024-07-19T23:13:20+00:00,N,FL01P1,Productive,Hospital,max
78,,,ac233ff5ad14,,,,,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
79,,,ac233ff5ad14,10857,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-05T20:09:07+00:00,N,,,Hospital,max
80,27062024203830B62399,06-27-2024 20:38:30,ac233ff5a947,B62399,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,2024-07-01T15:25:02+00:00,N,,,Hospital,max
81,,,ac233ff5a86a,B63028,"Circulatory Assist,SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
82,,,ac233ff5af87,B63515,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
83,,,ac233ff5adab,10814,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-05T17:51:34+00:00,N,,,Hospital,max
84,,,ac233ff5a917,B63336,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T12:55:47+00:00,N,,,Hospital,max
85,,,ac233ff5aa56,,,,,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
86,,,ac233ff5ad64,,,,,7-24-24 9:01 PM,,,Unable To Locate,2024-07-03T18:06:40+00:00,N,,,Hospital,max
87,,,ac233ff5ac95,B64964,"Monitors, Central Station",Mindray,Benevision,7-24-24 9:01 PM,NotInZone,,In Hospital,,N,,,Hospital,max
88,,,ac233ff5ab6c,B62537,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
89,,,ac233ff5aeb4,B63269,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
90,,,ac233ff5af8a,B62604,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-16T12:30:00+00:00,N,,,Hospital,max
91,,,ac233ff5ad7a,B61935,"Monitors,VitalSigns","WelchAllyn,Inc.",SpotVital,7-24-24 9:01 PM,,,Unable To Locate,2024-07-18T00:15:40+00:00,N,,,Hospital,max
92,,,ac233ff5aa4f,B61609,"Circulatory Assist,SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
93,,,ac233ff5acf1,B59766,"Monitors,VitalSigns","WelchAllyn,Inc.",SpotVital,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
94,,,ac233ff5ab63,B63302,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-16T01:18:16+00:00,N,,,Hospital,max
95,,,ac233ff5ac8e,10943,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,,,Unable To Locate,2024-06-12T12:55:48+00:00,N,,,Hospital,max
96,,,ac233ff5af1d,,,,,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
97,,,ac233ff5ae76,B63527,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
98,,,ac233ff5ac8e,,,,,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
99,,,ac233ff5af36,B62530,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
100,,,ac233ff5a861,B61678,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,OR Recovery - Refined,,In Hospital,,N,,,Hospital,max
101,,,ac233ff5a90d,B59079,"Monitors,VitalSigns","WelchAllyn,Inc.",VSM6000SERIES,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
102,18042024191430B63321,04-18-2024 19:14:30,ac233ff5a90c,B63321,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,2024-04-29T18:28:17+00:00,N,,,Hospital,max
103,,,ac233ff5ab11,B59423,UNKNOWN,UNKNOWN,Artic Sun 5000,7-24-24 9:01 PM,Radiology 2 - Refined,,In Hospital,,N,,,Hospital,max
104,01052024190000B62580,05-01-2024 19:00:00,ac233ff5a923,B62580,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,2024-05-21T14:08:08+00:00,N,,,Hospital,max
105,,,ac233ff5ab47,B59174,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,OR 2 - Refined - Large,,In Hospital,,N,,,Hospital,max
106,,,ac233ff5ad63,B59415,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:01 PM,ICU 2 - Refined,,In Hospital,,N,,,Hospital,max
107,,,ac233ff5aa31,B61704,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:01 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
108,,,ac233ff5acd4,B63291,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,,Unable To Locate,2024-06-17T20:10:43+00:00,N,,,Hospital,max
109,,,ac233ff5a78f,B63845,"Monitors, Vital Signs",Masimo Corporation,ROOT,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
110,,,ac233ff5afe4,B62641,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,Rockaway,Unable To Locate,2024-06-24T04:46:28+00:00,N,,,Hospital,max
111,,,ac233ff5b022,B63357,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
112,,,ac233ff5aff0,,,,,7-24-24 9:00 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
113,,,ac233ff5acf3,,,,,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
114,,,ac233ff5aeb2,B64853,"Infusion Pumps, BLOOD",The BELMONT,RI-2,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
115,12072024190200B62689,07-12-2024 19:02:00,ac233ff5a6d2,B62689,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,98 Exit,,Returned,2024-07-20T16:41:25+00:00,N,FL03NP1,Non-Productive,Hospital,max
116,,,ac233ff5ab2a,B63649,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,,Unable To Locate,2024-07-01T01:17:54+00:00,N,,,Hospital,max
117,29032024144900B63315,03-29-2024 14:49:00,ac233ff5ad3e,B63315,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,ICU 2 - Refined,,In Hospital,2024-04-01T15:34:45+00:00,N,,,Hospital,max
118,,,ac233ff5aadb,B63400,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
119,,,ac233ff5afab,B63609,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
120,23042024173930B65248,04-23-2024 17:39:30,ac233ff5ad32,B65248,"Monitors,VitalSigns","WelchAllyn,Inc.",ConnexSpotMonitor,7-24-24 9:00 PM,OR 1 - Refined,,In Hospital,2024-06-06T13:35:47+00:00,N,,,Hospital,max
121,,,ac233ff5b010,B62758,"Monitors, Vital Signs",Masimo Corporation,ROOT,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
122,,,ac233ff5ab00,,,,,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
123,11062024155000B62784,06-11-2024 15:50:00,ac233ff5aaf4,B62784,"Monitors, Vital Signs",Masimo Corporation,ROOT,7-24-24 9:00 PM,NotInZone,ER,In Hospital,2024-06-12T13:10:53+00:00,N,,,Hospital,max
124,,,ac233ff5a71b,B62756,"Monitors, Vital Signs",Masimo Corporation,ROOT,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
125,,,ac233ff5aadc,,,,,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
126,,,ac233ff5ae86,,,,,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
127,21072024212630B63458,07-21-2024 21:26:30,ac233ff5a912,B63458,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,98 Exit,Security,Returned,2024-07-22T14:21:34+00:00,N,FL03NP1,Non-Productive,Hospital,max
128,,,ac233ff5a879,B63621,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,,Unable To Locate,2024-05-13T12:42:59+00:00,N,,,Hospital,max
129,,,ac233ff5aad1,B59568,"Pumps, Enteral Feeding",Covidien(US),Kangaroo,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
130,,,ac233ff5af85,B63505,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,,Unable To Locate,2024-06-27T13:05:02+00:00,N,,,Hospital,max
131,,07-21-2024 21:25:30,ac233ff5af14,,,,,7-24-24 9:00 PM,98 Exit,,Returned,2024-07-22T14:21:21+00:00,N,FL03NP1,Non-Productive,Hospital,max
132,,,ac233ff5afe2,,,,,7-24-24 9:00 PM,,,Unable To Locate,2024-07-23T19:30:28+00:00,N,,,Hospital,max
133,,,ac233ff5afbd,B62523,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
134,,,ac233ff5b00a,B61540,"Circulatory Assist, Peripheral, SCD",Compression Therapy Concepts,VP500DM,7-24-24 9:00 PM,,,Unable To Locate,2024-07-15T13:09:20+00:00,N,,,Hospital,max
135,,,ac233ff5a99f,B62613,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,,,Unable To Locate,2024-06-17T20:10:34+00:00,N,,,Hospital,max
136,21072024211830B63597,07-21-2024 21:18:30,ac233ff5af13,B63597,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,98 Exit,,Returned,2024-07-22T14:21:10+00:00,N,FL03NP1,Non-Productive,Hospital,max
137,,,ac233ff5a9c4,,,,,7-24-24 9:00 PM,ICU 1 - Refined,,In Hospital,,N,FL02P2,Productive ,Hospital,max
138,,,ac233ff5a754,B62582,Infusion Pumps,Baxter Healthcare Corp Baxter,Spectrum IQ,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
139,,,ac233ff5afad,B65248,"Monitors, Vital Signs","Welch Allyn, Inc.",Connex Spot Monitor,7-24-24 9:00 PM,OR Outside storage,,In Hospital,,N,FL03NP2,Non-Productive,Hospital,max
140,,,ac233ff5a86d,B59107,"Monitors, Vital Signs","Welch Allyn, Inc.",VSM 6000,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
141,,,ac233ff5acf6,B57722,"Monitors,VitalSigns","WelchAllyn,Inc.",42MTB,7-24-24 9:00 PM,,,Unable To Locate,2024-03-29T17:17:02+00:00,N,,,Hospital,max
142,,,ac233ff5af5d,,,,,7-24-24 9:00 PM,NotInZone,,In Hospital,,N,,,Hospital,max
143,,,ac233ff5a932,B62812,"Monitors,VitalSigns",MasimoCorporation,ROOT,7-24-24 9:00 PM,,,Unable To Locate,2024-06-12T13:10:51+00:00,N,,,Hospital,max
144,,,ac233ff5af79,,,,,7-24-24 9:00 PM,,,Unable To Locate,2024-06-27T19:41:43+00:00,N,,,Hospital,max
145,210720242119000004F324AF58,07-21-2024 21:19:00,ac233ff5acc4,0004F324AF58,UNKNOWN,UNKNOWN,,7-24-24 9:00 PM,98 Exit,,Returned,2024-07-22T14:21:15+00:00,N,FL03NP1,Non-Productive,Hospital,max
